player,train_rows,val_rows,test_rows,status,model_path
Gui Santos,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Gui_Santos.pkl
Al Horford,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Al_Horford.pkl
Quinten Post,29,6,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Quinten_Post.pkl
Alex Toohey,0,0,0,skipped,
Draymond Green,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Draymond_Green.pkl
Stephen Curry,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Stephen_Curry.pkl
Trayce Jackson-Davis,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Trayce_Jackson-Davis.pkl
Jackson Rowe,4,1,0,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jackson_Rowe.pkl
Pat Spencer,27,6,5,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Pat_Spencer.pkl
Aaron Holiday,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Aaron_Holiday.pkl
Kevon Harris,0,0,0,skipped,
Amen Thompson,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Amen_Thompson.pkl
Dorian Finney-Smith,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Dorian_Finney-Smith.pkl
JD Davison,10,2,3,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\JD_Davison.pkl
Fred VanVleet,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Fred_VanVleet.pkl
Kevin Durant,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Kevin_Durant.pkl
Jae'Sean Tate,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jae'Sean_Tate.pkl
Jabari Smith Jr.,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Jabari_Smith_Jr..pkl
Steven Adams,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Steven_Adams.pkl
Reed Sheppard,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Reed_Sheppard.pkl
Tari Eason,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Tari_Eason.pkl
Josh Okogie,27,6,6,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Josh_Okogie.pkl
Isaiah Crawford,10,2,2,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Isaiah_Crawford.pkl
Alperen Sengun,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Alperen_Sengun.pkl
Clint Capela,34,7,8,trained,C:\Users\bcmad\Downloads\StatMusePicksv2\backend\models_store\roster_run\Clint_Capela.pkl
